key,val
3389795842.01256369435.039962.0443.0,s40-eth1
2736694916.0520180363.058555.0443.0,s37-eth1
2529098652.03743172608.080.052895.0,s38-eth1
2529098652.03743172608.080.052341.0,s39-eth1
2575102202.02529098652.026093.080.0,s40-eth1
2887372523.02203504142.0443.059876.0,s37-eth1
2203520518.0603965105.0993.044327.0,s38-eth1
2529098652.02571006876.080.046312.0,s39-eth1
3389795842.01256366359.058375.0443.0,s40-eth1
2529074338.0290160865.033008.0443.0,s37-eth1
2529077500.02887326820.057419.0443.0,s38-eth1
2203521666.02887326161.054639.0443.0,s39-eth1
2887326165.02203488849.0443.061615.0,s40-eth1
2529098652.01012521042.080.019470.0,s37-eth1
2529070520.03698792201.080.062179.0,s38-eth1
2736656022.02535283099.050530.0443.0,s39-eth1
2529098652.0667414916.080.053580.0,s40-eth1
2529098652.02671286870.0443.058348.0,s37-eth1
3389795842.02918461417.055779.0443.0,s38-eth1
2529098652.01919598168.080.022150.0,s39-eth1
2529049965.0391118035.049153.080.0,s40-eth1
2529098652.03391675812.080.046930.0,s37-eth1
2529097966.01918361640.0443.053060.0,s38-eth1
2529098652.03106670142.0443.057924.0,s39-eth1
2529098652.01850371316.0443.04565.0,s40-eth1
2887326822.02203470768.0443.055628.0,s37-eth1
2247452458.03390521636.027688.080.0,s38-eth1
2203568588.03629795810.040265.0443.0,s39-eth1
2529098652.02076380121.080.049230.0,s40-eth1
2246409422.01729296920.052514.080.0,s37-eth1
3389795842.01256369434.050730.0443.0,s38-eth1
3532559726.02529098652.035604.080.0,s39-eth1
3389795842.0307204430.051816.04100.0,s40-eth1
2529098652.01941188907.080.057446.0,s37-eth1
2529075114.0764809201.053516.0443.0,s38-eth1
2203534190.03536225772.080.061284.0,s39-eth1
597937544.02203455391.0443.060306.0,s40-eth1
3389795842.01256366422.045393.0443.0,s37-eth1
3417081029.02641495656.0443.051343.0,s38-eth1
3417081029.0768040735.0443.037252.0,s39-eth1
3389795842.02887326000.059180.0443.0,s40-eth1
2887326816.02203470768.0443.053192.0,s37-eth1
2203521666.02887326796.054641.0443.0,s38-eth1
2887326401.02203470808.0443.054658.0,s39-eth1
2203568588.03629795815.048473.0443.0,s40-eth1
2529098652.03031773411.080.041149.0,s37-eth1
1918040885.02529098652.061367.080.0,s38-eth1
2529070520.03698792201.080.062339.0,s39-eth1
2529070520.03698792201.080.062193.0,s40-eth1
2203534293.03734300752.043796.0443.0,s37-eth1
2887326820.02529077500.0443.057419.0,s38-eth1
3389795842.02918461417.054612.0443.0,s39-eth1
2529098652.02567597291.080.059206.0,s40-eth1
2949550885.03396267516.0443.056119.0,s37-eth1
2203576121.01256344703.062198.0443.0,s38-eth1
2203536556.01816743662.059546.0993.0,s39-eth1
2203521666.02887326410.054636.0443.0,s40-eth1
2203520518.0599988086.0993.050386.0,s37-eth1
2529098652.01783890409.080.051363.0,s38-eth1
3629795805.02203464036.0443.045186.0,s39-eth1
3537464767.02529098652.033968.080.0,s40-eth1
