key,val
"[-0.03020462 -0.06587735  0.09453631 -0.00570581 -0.06109602 -0.07751474
  0.02673944  0.14642213 -0.00053388  0.08465594  0.06972404 -0.13073775
 -0.01469572 -0.01466028]",1
"[-0.04377781 -0.01524804  0.12375896 -0.07441579 -0.06934491  0.03892998
  0.09533717 -0.06346731 -0.10438676 -0.05256371 -0.01947774  0.06734749
 -0.00001343  0.01120711]",1
"[-0.04323722  0.02055942 -0.04273788 -0.00783202 -0.0390338  -0.05208705
 -0.00561516 -0.08534667  0.0058852  -0.03699424 -0.00005224 -0.06728344
  0.00012131  0.00166956]",6
"[-0.05007748  0.05025453  0.00098051  0.0092147   0.0307723  -0.0320325
 -0.06864027  0.01316524  0.03984434  0.04088071  0.03396538  0.00633708
  0.00387694 -0.00841983]",3
"[-0.04869142 -0.02981004 -0.00581582  0.04058925  0.04059975  0.04077941
 -0.04420536 -0.03231666 -0.0123754  -0.01568403 -0.03912489 -0.02298963
  0.00429127 -0.00206076]",3
"[-0.04472639  0.03770919  0.11976527  0.05883052 -0.04907509  0.02082925
 -0.01967479 -0.05461092  0.00723892 -0.05202709 -0.02035096  0.07801873
 -0.00101316  0.00725441]",6
"[-0.03140356  0.05872113  0.03550028  0.01248802 -0.05604099 -0.04221823
  0.03122294  0.04632277 -0.05103009 -0.00342685  0.00498742 -0.07641377
  0.0001479  -0.00197954]",6
"[-0.04581719 -0.07090817  0.02899639 -0.05898587 -0.00661571 -0.01629864
  0.01164221  0.0451569   0.05053454 -0.05616209  0.0440326  -0.01456996
 -0.0016208   0.00298648]",3
"[-0.03722596 -0.05277486  0.09494844 -0.00793642  0.03974422 -0.03296972
  0.02942538  0.15112681 -0.10579518 -0.02487477  0.05535913 -0.01401256
  0.00606786 -0.00550839]",2
"[-0.0439666   0.05122923 -0.06045894 -0.0462652  -0.00965612  0.00726369
  0.05196485  0.04473876 -0.01727683 -0.02223015 -0.01797719  0.01231607
  0.00966886  0.00700063]",4
"[-0.0463123  -0.03193991 -0.00941014  0.02551695 -0.04789938  0.03608739
  0.00387895 -0.0277347   0.0604482   0.04172908 -0.07719163 -0.01227115
 -0.00687438  0.0038891 ]",3
"[-0.03359927  0.009274    0.09652095  0.03728021 -0.07899872  0.05317322
  0.00356647 -0.03223898  0.04840202 -0.09716549 -0.10815581 -0.03470313
 -0.00474685  0.01475279]",2
"[-0.04989147 -0.05050844 -0.02945967  0.07453765  0.01918205 -0.01306148
 -0.00970667  0.0479948  -0.01558688  0.06068885  0.0296599   0.01627482
  0.00005805 -0.00783824]",12
"[-0.03722352  0.05194493  0.03498996  0.02146565 -0.06427682 -0.05220954
  0.0668487  -0.00481582 -0.08360605 -0.03160373 -0.04624974  0.04369755
  0.00464569  0.0111181 ]",2
"[-0.04150001  0.03703693  0.10073963  0.0388015  -0.09523655  0.02657867
  0.02623756 -0.04729719  0.01975747 -0.05270219 -0.0266775   0.0631899
 -0.00448962  0.01131159]",4
"[-0.04852544 -0.05580574  0.02701531 -0.04551459  0.05369165 -0.10220237
 -0.03036686  0.00415401  0.00711315 -0.03999403 -0.07815247  0.04780127
  0.00775328  0.01028845]",1
"[-0.04854299  0.02946039 -0.03254495 -0.01091373 -0.04194265 -0.00921902
  0.02091012 -0.01583526 -0.00502326  0.11180092  0.00598325 -0.00535469
 -0.00348477 -0.00693611]",3
"[-0.02978164  0.00357748  0.04006817  0.03336173 -0.06727207 -0.01418743
  0.0519714   0.05192975 -0.02126302  0.05461363 -0.21027409 -0.03610584
 -0.00329045  0.01281194]",1
"[-0.05027531  0.04158003 -0.01406796 -0.02162739  0.00761027  0.05623896
  0.00056738 -0.00644339 -0.01410914  0.00456638  0.03957524  0.01058403
  0.00560945 -0.00421404]",11
"[-0.04508637  0.02611513 -0.04157183 -0.00505894 -0.05941455 -0.07028598
  0.00939267 -0.06703883  0.02462306  0.01109883 -0.008074   -0.02096099
 -0.00242611  0.00300309]",5
"[-0.03404828  0.05229474  0.01754867  0.01009902 -0.01605012 -0.03462293
  0.05709728 -0.00171486 -0.14100035 -0.09843948 -0.03492178 -0.01578599
  0.01256801  0.00923389]",2
"[-0.04514257 -0.05605101 -0.07636889  0.04089114 -0.03891302 -0.01835207
  0.07077154 -0.01410096 -0.06587392 -0.01593624  0.02651635 -0.01582291
  0.00052983  0.00203875]",3
"[-0.04182532 -0.04937849 -0.03146866  0.04059195 -0.03244221  0.02963872
  0.0115861   0.04362312  0.07311514 -0.09369165  0.0299866  -0.04364453
 -0.00179236  0.00562221]",3
"[-0.01305431  0.02200826  0.0487338   0.0545721   0.14842129 -0.03621345
  0.06825113 -0.04797511  0.03130614 -0.01138316  0.00231304 -0.07038881
  0.003125    0.17465791]",1
"[-0.04446561 -0.03547864  0.02439082 -0.10783093  0.05927414  0.03871349
 -0.00290509  0.03783028 -0.02635707 -0.04070562 -0.03296368 -0.05989862
  0.00811554  0.0001898 ]",1
"[-0.05016381 -0.05434487 -0.01853194  0.09196201  0.02084583 -0.05216122
 -0.03826079  0.02328055  0.01737226  0.03256171  0.00573239  0.03215478
 -0.00011725 -0.0033568 ]",2
"[-0.04690586 -0.05794868  0.04738526 -0.06993042 -0.02529664 -0.01131585
  0.00309932  0.03566954  0.0869664   0.03057556 -0.03125735  0.00220955
 -0.00667342  0.00344088]",1
"[-0.05003243 -0.06564716  0.02255239 -0.07754262 -0.03311    -0.00007328
  0.05183358 -0.03502107 -0.02268024  0.03168877  0.00056114  0.01234426
 -0.00411775  0.00135888]",4
"[-0.04964732  0.00441739  0.00885109 -0.11155137  0.00041553 -0.06808131
  0.03979898  0.01648435 -0.01850871 -0.003915    0.02074177  0.05845506
  0.00628566  0.00529599]",1
"[-0.04983482  0.01052106 -0.02059727  0.02104609  0.05365184 -0.02990095
 -0.03999177 -0.03521892 -0.03372833  0.02028918 -0.10838104  0.03736554
  0.01005433  0.00417184]",2
"[-0.0442766  -0.05138763 -0.03049291  0.04439733 -0.03273874  0.02963116
  0.01691755  0.0178744   0.04560388 -0.06943332  0.03080263 -0.02622049
 -0.00200382  0.00399338]",6
"[-0.03281913 -0.02939753  0.0414044   0.10256478  0.01192931 -0.06586941
 -0.00943789  0.05025197 -0.06595794 -0.0976741  -0.0582238  -0.03240079
  0.0066934   0.00737986]",1
"[-0.01862276  0.02942809  0.05416906  0.05608676  0.14989312 -0.03485996
  0.10385795 -0.02942366  0.0369286  -0.02837391 -0.06237622  0.08172257
  0.00925926  0.03670255]",3
"[-0.04896878  0.02153263  0.02555938 -0.11852476 -0.01007311 -0.0623574
  0.02917425  0.08727128  0.05854955  0.04565434 -0.00001128  0.07932049
  0.0028098   0.00565107]",1
"[-0.04383328  0.043361    0.00223598  0.00185453  0.02823453 -0.01960762
 -0.07980081  0.06959486  0.1099802   0.01853946 -0.02973527 -0.03630452
  0.00245361 -0.00278976]",7
"[-0.04577104  0.0055239  -0.00304275 -0.11996537 -0.04357714 -0.09614439
  0.03613497 -0.03992887 -0.02028304  0.01136165  0.08816015 -0.04840254
 -0.00198294 -0.00452795]",1
"[-0.04803945 -0.05005533 -0.00758504  0.07021339  0.02807015  0.01807758
 -0.04306946  0.01340628  0.03100837 -0.06844338  0.03674667 -0.00930591
  0.00265845 -0.00112352]",8
"[-0.04808341 -0.06595573  0.04036548 -0.05469388  0.01667808 -0.04932862
 -0.03287135 -0.07488427  0.00255284 -0.05085386 -0.01217353 -0.03493066
  0.00004506  0.00178287]",1
"[-0.01386771  0.02633242  0.03429771  0.0322924   0.09913897 -0.01045054
  0.14018118 -0.02214963  0.03471171  0.02168352 -0.01832309 -0.01036057
  0.00085007  0.02823346]",2
"[-0.04718967 -0.03020904 -0.01431494  0.03088633  0.01817203  0.04504359
 -0.02231321 -0.02947989 -0.00571985 -0.01716842 -0.04135616 -0.0300357
  0.00258042 -0.00009724]",3
"[-0.04851325  0.04194545 -0.01118244  0.00943693  0.05284574 -0.04235782
 -0.06146688  0.00887095  0.02495463 -0.02829288 -0.03430226  0.03122928
  0.01083578  0.00294106]",1
"[-0.04933317 -0.02816819 -0.00942821  0.02556199 -0.01299007  0.08159501
  0.01841189  0.04903044  0.02880635  0.07256922 -0.03765592  0.02707395
 -0.00246482 -0.00125498]",1
"[-0.04994252 -0.05972633  0.04238973 -0.07195525 -0.03323637 -0.01145533
  0.0206758  -0.02289227  0.03190031  0.06139246 -0.03663121  0.0176745
 -0.0069662   0.00184689]",6
"[-0.04915944 -0.03158963  0.01038839  0.04894637  0.00438059  0.02362647
 -0.05007782 -0.02925134  0.05335113  0.03551385 -0.07024087 -0.00082452
 -0.0028854  -0.00018929]",4
"[-0.04367229 -0.04116578 -0.03984026  0.02446516 -0.01468815  0.0532173
  0.02664124  0.01426783  0.00376675 -0.07287789  0.01838171 -0.0428613
  0.00186273  0.00313042]",2
"[-0.00695859  0.01948221  0.03765683  0.02823762  0.06260292 -0.00478596
  0.10883373 -0.00302198  0.08821024  0.10324128  0.04253851 -0.17380596
 -0.01299547  0.01556842]",1
"[-0.04629053  0.04793058 -0.03670893 -0.02140559 -0.01499212 -0.02568923
  0.0155244   0.03118188  0.03099098  0.00540099 -0.02566926  0.03762482
  0.0056076   0.00627384]",4
"[-0.04536436 -0.05562003 -0.04569428  0.06095245 -0.05083098 -0.03853333
  0.03170436  0.03234658  0.03864278  0.02781772 -0.00139856  0.0096362
 -0.00558495  0.00291841]",2
"[-0.05010351  0.01821252  0.01631911 -0.11175235  0.07881743 -0.05394886
 -0.00825539  0.03702869 -0.05577713 -0.0429069   0.02883365  0.03890104
  0.01577147  0.00088002]",1
"[-0.04954113  0.04525844 -0.03068476 -0.00209951  0.00532379 -0.05754871
 -0.01336948 -0.03930416 -0.00912033 -0.02627911  0.00972966  0.04147464
  0.00803489  0.00342839]",2
"[-0.05483252 -0.05627033  0.06032038 -0.04976596  0.04910657  0.01999186
 -0.01694268  0.05806521  0.00301692  0.07602118  0.01112265  0.06196557
  0.00106359 -0.00645261]",1
